AAR	Scare Marla badly (5)
SYSTEMSANALYSTS	Sam's nasty styles distressed network evaluators (7,8)
SZPAJISX	Grant a true passport to Greek columnist? (8)
TABARDS	Garments for many knights, thanks to British poets (7)
TABBY	Move in preset intervals past member of "Cats"  (5)
TABITHA	"Bewitched" girl hit a bat frolicking (7)
TABLE	Story about a little boy -- save for later discussion (5)
TABLEAU	A graphic description of table with gold base (7)
TABLELAND	Hunter left horny critter's plateau  (9)
TABLES	Indefinitely puts off some among most able suitors (6)
TABLES	Places to eat, mostly without a bill (6)
TABLESAW	Mutated lab waste becomes a many-toothed ripper (8)
TABLEWINES	Common libations turn sweet in lab (5,5)
TABOO	"Poison Ivy" as an example French author raised (5)
TABOO	Prohibited key rings (5)
TABOUR	Check our small drum (6)
TABU	Hunter University is off limits (4)
TABU	Makeshift tuba is totally unacceptable (4)
TABULATE	Record forbidden recently (8)
TABULATED	Created synopsis, but a detail I omitted is wrong (9)
TACITUS	Ancient historian understood America (7)
TACKED	Changed direction of diplomacy in speech (6)
TACKED	Joined Grace in chorus (6)
TACKS	Adds money owed to the government in hearing (5)
TACT	Social sensitivity disguised by covert acts (4)
TACTILE	Could relate to touching performance in Tessera Square (7)
TAG	Send back gangster's gun to get ID (3)
TAGALOG	Identify a record from the Philippines (7)
TAGALOG	Put out a journal in a foreign language (7)
TAGSALE	Place to buy cheap beer after stag partying (3, 4)
TAHITI	Within it---ah, it is an island paradise (6)
TAHITIAN	Polynesian University instructor gave another card to Sir McKellen (8)
TAI	Asian people found in retail (3)
TAILING	Behind time and feeling rotten (7)
TAILS	Dogs dog's missing from shortens (5)
TAINT	'Tisn't corrupt (5)
TAKEABREATHER	Stop fooling around with her at tea break (4,1,8)
TAKEAST	Try out shot at a basket (4,1,4)
TAKEASTAB	Make an attempt at a basket weaving (4,1,4)
TAKER	Bring demure Kate back, holding receiver (5)
TALC	Hospital cabinet holds baby's comforter (4)
TALENT	TNT packed with ale - it's a natural gift (6)
TALENTS	Mr. Sharpton's under canvas singing and dancing? (7)
TALKATIVE	Glib speech before Ms. Peron returns (9)
TALLADEGA	Grew up with everyone at rising NASCAR location (9)
TALLIED	Counted time on one's side (7)
TALLORDERS	Story about God and radical socialist's difficult challenges (4,6)
TALLY	Count Tadeusz's first friend (5)
TALON	Jeep model went along to show (5)
TAMPA	Drive down alongside a bay in Florida (5)
TAMPER	Illegally negotiate with one who pounds down (6)
TAMPERS	Fools with packs outside emergency room (7)
TANDEM	Gave 'em a spanking, one might say, one after the other (6)
TANDOORIS	It's an odor billowing from Indian dishes (9)
TANG	Flipped over bug bite (4)
TANGERINE	Argentine fresh fruit (9)
TANGERINE	Fork prong holds passion fruit (9)
TANGERINE	Mandarin tangled net in rage (9)
TANGO	Dance, O, little fly, moving ever upward (5)
TANGO	Latin dance Tuesday before an oriental game (5)
TANGOS	Drunk sang to sexy music (6)
TANK	Emulate George Hamilton: Strike out, take a plunge (4)
TANONARFAA	Rats dancing with sailors; Performing after number 12; Broadcast free coral exhibition
TANTAMOUNT	Not a mutant alien, or equivalent (10)
TANTRUM	Fit so much in French drink (7)
TAO	The way an economic index is discussed (3)
TAP	Perfect counter-spy equipment (3)
TAPERECORDERS	Gradually reduce European Community requisitions for playback devices (4,9)
TAPERED	Came to point out Pat Reed (7)
TAPERS	Prates unexpectedly, finally gets to the point  (6)
TAPESTRY	Record spouse's first attempt hanging (8)
TAPINTO	Use tapioca skin with bean (3, 4)
TAPIOCA	Leaders of trendy American politicians, in old collars, apply starch (7)
TAR	Sailor in regatta routed (3)
TAR	Sailor offers thanks to the British resistance (3)
TAR	Start reducing salt? (3)
TARA	Pitch a classic example of Southern opulence (4)
TARADIDDLE	Riddle data mixed up? Baloney! (10)
TARANTELLA	Dance in California (10)
TARDIEST	I started out being least timely (7)
TARNATION	Damn turncoat left country (9)
TARNATION	Land under sailor, for heaven's sake! (9)
TARRY	Megastar Ryan has to wait (5)
TARRY	Putter smeared with dark, sticky goo (5)
TART	Sweet 'n' sour (4)
TARZANA	Superstar, "Zanadu", has a place in L.A. (7)
TAS	Some grad students' incomplete assignment (3)
TASER	Teaching assistants run into hospital facility for shocker (5)
TASK	Duty's ultimately cut on request (4)
TASKS	Don't ask supervisor about work objectives (5)
TASMANIANDEVILS	These marsupials; peculiar animals, deviant (9,6)
TASSELSREEKS	One of those gyrating lasses with pendants; Stenches from carbon-deficient watercourses
TASTE	A sense of uplifting, inward quiet satisfaction (5)
TASTE	Preference for taking time before travelling east (5)
TASTEFUL	Cultured Faust let freaks out (8)
TASTY	Delicious part of Santa's tyranny (5)
TATA	Tuned gong seen in mat's dual reflection (3-3)
TATER	Treat diagram badly for Spud (5)
TATTLETALE	Two stories containing the first of two themes with a whistle blower (10)
TATTOOED	Beat colored (8)
TAUNT	Put down explosive material about a union member (5)
TAUT	Newest automobile supplies tight (4)
TAWDRINESS	Resort disaster when he goes for tasteless ostentation (10)
TAXI	Hack with ax after one of trees ignites, initially (4)
TBONE	A bit of blood in vein of cut of beef (1-4)
TEAANDCRUMPETS	As Rev. Spooner says, for example, "A sharp and brassy group provides an afternoon snack" (3,3,8)
TEABOARD	Serving tray with tablespoon accompanies English on ship (8)
TEACAKE	Take peach heart to make sweet tart (7)
TEACEREMONY	Create money-changing ritual in Japan (3,8)
TEACH	Discipline the heartless and agonize endlessly (5)
TEACH	Stu undressed in front of every tutor (5)
TEAGARDEN	Trumpeter is a young person with a pullover (9)
TEALEAF	Kind of blue hereafter, at heart; this might tell what's to come? (3,4)
TEAMSTERS	Tarts seem crazy for truck drivers (9)
TEAR	Split reaction to Spain? (4)
TEARDOWN	Town accepts wild dare to demolish completely (4,4)
TEARDRO	Indication of pain as predator chewed (8)
TEARSTAIN	Scratches container with a Mark of Sorrow? (9)
TEASE	Heard supporters flirt (5)
TEASET	Bother with tomato slice and some china (3, 3)
TEASINGLY	Drink one after another in a tantalizing way (9)
TECHSASS	Engineering school backtalk is disrupting -- the class's dropping Latin? (4,4)(5)
TEEM	Upcoming track and field event is swell (4)
TEEMS	Cheering of teams produces many scores? (5)
TEEMS	Hordes of unions' speakers (5)
TEENAGER	Youngster ate green bananas (8)
TEENY	"Elfin" featured in "Complete Enya" (5)
TEEPEE	Golfer's need: number one, a place to live (6)
TEETER	The essence of sedate eternity is balance (6)
TEETOTALER	Teeter around a lot? Reformed, this fellow's staying on the wagon (10)
TEETOTALLER	Does Lipton statistician sound dry? (11)
TEHEE	It's funny, you being empty inside (5)
TELAVIV	Manservant returns at four in Mideast city (3 4)
TELEGRAM	Dispatch Mrs. Simpson: rent from behind (8)
TELEGRAM	Group accepts member with Republican message (8)
TELEGRAMS	Wires the heartless Rams about kicker (9)
TELEPHONE	Call on stranger, then elope (9)
TELESCOPE	Select Poe novel and condense (9)
TELEVISIONSET	See its violent broadcast? (10,3)
TEMPEST	Site of ASU school near Tuesday's storm (7)
TEMPLES	Templates lacking a bit of taste for houses of worship (7)
TEMPO	.
TEMPO	Pot? Me? About time! (5)
TEMPO	Swing splits totem pole
TEMPOS	System positively displays rates of speed (6)
TEMPT	Attract fill-in worker by end of August (5)
TEMPTRESS	Delilah, for one, is almost exhausted, sitting in the middle of hair (9)
TEMPURA	Softly wrapped in mix / of mature materials / to be made deep-fried (7)
TENABLE	Napoleonic site on Web is reactionary, very likely (7)
TENANTS	Roomers include one in camp shelter to the south (7)
TENANTS	Teepees sheltering North America's occupants (7)
TENDENCY	After nine, study about unknown propensity (8)
TENDER	Kindly offer (6)
TENDER	Soft money (6)
TENDON	Some often donate muscle-related tissue (6)
TENDTO	Inclined to care for (4,2)
TENET	Rule for finding direction between-times? (5)
TENSE	Sound of circus venues is wired (5)
TENSE	Stretched form of a verb (5)
TENSEST	Decades established as most uptight (7)
TENTACLED	Len acted strangely after initially tickling with long arms (9)
TENURED	Get used to being in Treasury Department with a secure job (7)
TEPEE	.
TEPEE	Writing exercise: "The Self"
TERMINAL	Improved tramline leads to boundary (8)
TERODNAICLL	As a reaction to heat, the room emptied; I call security, ultimately (many do), returning inside (17)
TERRACE	Tailless seabird atop family veranda (7)
TERRAPIN	Mad painter frames river turtle (8)
TERRORS	Dreads mistake in time-share (7)
TERSE	Initially, teaching language using few words (5)
TESTABLE	After setback, table becomes available for investigation (8)
TESTART	See 34-Across
TESTTUBE	Cigarette butts, etc., concealing overturned lab glassware (4,4)
TETCHED	A little off, but ultimately scored (7)
TETCHIEST	Make a deep impression, bound by ties initially thought to be most vexatious (9)
TETEATETE	Four tight ends holding a private conversation (4-1-4)
TETHER	Confine and isolate the responsible characters (6)
TETHERED	Tied up the gutless Eric? (8)
TETHERS	Offensive time: that woman's in restraints (7)
TETRA	Brightly-colored tropical fish tries eating the remaining algae, at first (5)
TETRAGRAM	Dirty Targa term is a four-letter word (9)
THAI	Asian speaker's standoff (4)
THAIS	Opera Asians (5)
THATCH	That duo from Chicago rushes for the roof (6)
THEAPPRENTICE	Trump's series, Chapter Ten: Pie Tossing (3,10)
THEATER	Projectionist's foot warmer in movie house (7)
THEATER	The rate changed at movie house (7)
THEATRICS	Excessive melodrama ruined their acts (9)
THEBEAST	At Thebes, crazy for "The Love of Beauty" (3,5)
THEFT	Stealing the foot (5)
THEIR	One willed to initially try, firstly, belonging among them (5)
THEIR	The Irish, keeping what belongs to them (5)
THEIR	True heir, belonging to them (5)
THEIRS	The tax agency is not ours (6)
THEISM	Tithe is money invested with belief (6)
THEM	He's endlessly absorbed in contemplation of a sort with those people (4)
THEME	Beatty's hanging around premiere of "Reds," irritating people
THEME	Emily gets into the topic (5)
THEME	The first clue gives the first answer in the first grid.
THEME	The idea -- a little meal filled you once (5)
THEME	Write Dorothy's aunt into the motif (5)
THEMES	Issues from the dining room unfinished (6)
THEMET	Opera motif time (3,3)
THEMEVON	Subject those people to last bit of torture (5); [3]
THEOCRAT	The actor parodied Mullah Omar, among others (8)
THEODORE	Beagle finally pursues the scent of a noted chipmunk (8)
THEODORE	Mr. Dreiser's odor picked up by you (8)
THEOREM	Dopey met hero with a proposition (7)
THEORY	Conjecture that group accepts as an alternative (6)
THERE	Common start to limericks confused three (5)
THEREFORE	So the ref stands by score, after ejecting a couple of starters (9)
THEREIN	The control is over that way (7)
THERESA	There is a Santa, perhaps (7)
THEREUPON	Working up here? Not in the next episode (9)
THERMOS	Mother's prepared lunch box soup container (7)
THESES	This, this, and this point to positions (6)
THESPIS	Exponent of acting says "urinate" with a speech impediment (7)
THETA	Greek letter for the teaching assistant (5)
THEWINDOWS	(See 1A)(3,7)
THICKSET	Beefy bumpkins interrupt New Year's celebration (8)
THINE	Your old skinny auntie's rear end (5)
THING	Movie monster's night out (5)
THING	Object of thinking without pen (5)
THINGUMMY	Small, sticky whatsit (9)
THINKER	Naked bronzed French hunk veiled in paper-thin kerchief  (7)
THINKING	Underfed monarch in meditation (8)
THIRDRATE	Poor time to rent as location for shoot (5-4)
THITHERTO	Shortly, despite holding it over her shirt until then (9)
THOR	"Tool's missing from chest", he thundered (4)
THOREAU	Hear out cryptic writer (7)
THOREAU	Hear out troubled transcendentalist (7)
THORN	Initially, tooting horn is cause of irritation (5)
THORPE	Olympic athlete beat the pro (6)
THOSE	Merchant finally stocking this and that (5)
THOUS	MS. found in hothouse (5)
THRASH	Whale almost finished the series (6)
THREADBARE	Shabby trio hanging around spot in front of bar (10)
THREADING	Preparing to sew sock eight darn (9)
THREADS	Trashed trashed duds (7)
THREAT	Fluttering heart and thundering head is a danger (6)
THREAT	Warning: Mad Hatter (6)
THREATENED	Forecast ill wind to maintain temperature: 67.5 degrees (10)
THRESHOLD	Drunk held short in doorway (9)
THREWOUT	Ejected, shouting all the way (5,3)
THROB	"Doctor Broth," for acute pain (5)
THROB	Hot R&B beat! (5)
THROB	Pound of broth stewed (5)
THROB	Strong pulsation inside bathrobe  (5)
THROBS	Pulses, starts to have rhythm or beat, stops (6)
THRUSH	Bird disease (6)
THRUSTS	Has confidence about hot, bold moves  (7)
THRWSIN	Includes one of his oars, metal-plated (6,2)
THUNDER	Hunt injured dear, relinquishing a roar (7)
THUS	False tush--so? (4)
THWACK	Slap broken watch with bottom of brick (6)
THYME	Belonging to you, is getting to me, Herb (5)
THYME	Herb talked about the fourth dimension (5)
TIARA	Mitchell's ranch has one royal feature (5)
TICTAC	Some Muscat citizens returned beat (3-3)
TIDEPOOLS	Oil depots destroyed ocean habitats (4,5)
TIDES	Small change comes back as recurring fluctuations (5)
TIDINGS	News announcement:  Badger digs nit (7)
TIDY	Large returns in catchy ditty  (4)
TIDYING	Straightening up, lost dignity (7)
TIEDYES	Siamese toolmakers reportedly in colorful clothing (3-4)
TIEDYING	England engaged in sprucing up in preparation for Grateful Dead event? (3-5)
TIERS	Ranks those who make sheepshanks (5)
TIGHTEN	Seize broadcast mogul (7)
TIGHTLIPPED	Rev. Spooner's pale, upset and close-mouthed (5-6)
TILDE	Scrabble piece having D and a diacritical mark (5)
TIMBALEDAREA	Tiny bundle holds creamy mixture (7); [1]; Do there exist any square feet? (4)
TIME	Both halves of article need to be transposed for a magazine (4)
TIMECAPSULES	Upscale items tossed in repositories for discovery by future generations (4,8)
TIMELINE	Order issue about a river flowing upstream (8)
TIMER	Counter of delay! (5)
TIMES	Multiplied by inaccurate items (5)
TIMID	After Burton, the wild part of a person turns meek (5)
TIMPANI	Rousing Pat with mini drum set (7)
TINCAN	Small company boards brown vessel (3,3)
TINGE	"Hint of Color": part of exhibit in Germany (5)
TINGE	Touch the innards of a scorpion's tail (5)
TINGEERAROLL	Suspicion of can company in the Dow Industrials; Age is being brought up; Audience's character list
TINMAN	Heartless forester held back by Pan Am nitwits (6)
TINNINESS	Metallic distortion of WXY call numbers inside tins (9)
TIPTOP	Excellent advice: raise pot (3-3)
TIRADES	Denunciations in verbal retaliation for panty raids? (7)
TIRADES	Reports of incursions from Thailand lead to angry outbursts (7)
TIRE	Flag person who's into bondage sounds (4)
TIRE	Wear out auto part (4)
TIRED	Sleepy returned it, blushing (5)
TISSUE	Paper's edition follows hint of trouble (6)
TITAN	Giant to clamp down harder on ears (5)
TITAN	Taint corrupted giant (5)
TITANIC	Monumental spasm surrounding one bronze (7)
TITANIC	Note tan -- I cruise principally with a ship Down Under? (7)
TITANIUM	"Mutant II" playing not-so-heavy-metal (8)
TITANS	Cronus et al. in a conniption about holding pair from Tarsus hostage (6)
TITHE	Returning that item the 10th (5)
TITLE	This identifies the literary epic at the outset! (5)
TITLES	Is(?) Dot not the source source of these Socialists' names (6)
TITMICE	Small songbirds destroyed mitt near diamond (7)
TITUSANDRONICUS	Powerful individual accommodates American doctor connected with parts of hospital drama (5,10)
TNATSISER	Unwilling to destroy train sets (9)
TOADIES	Pitching ideas to yes men (7)
TOADSTOOL	Toxic fungus is harm to lads too (9)
TOASTER	He salutes one who relishes and swallows nothing (7)
TOASTERS	People proposing tributes to flowers (8)
TOD	Mann's "Death in Venice" Dorothy sent up (3)
TOEHOLDS	On hold, digital units can provide supports for climbers (8)
TOKEN	Symbol to recognize (5)
TOLD	Related opening of tale by ancient (4)
TOLERANT	Liberal ran into vacancy sign (8)
TOLERATION	Open-mindedness as far as the French quota (10)
TOMATILLO	Small green vegetable found in automat, illogically (9)
TOMATOS	Atom bombs to begin spewing ketchup ingredients (7)
TONES	Colors of trombones on the outside (5)
TONES	Musical note surrounded by lots of musical notes (5)
TONGUELASH	"Chew-out" speech precedes strike (6-4)
TONIC	Medication for spasm catching on (5)
TONICWATER	I won't react when mixed! (5,5)
TONSURE	Not going back, confident, with shaved head (7)
TOO	More than enough rings hanging from the chief of Tahiti (3)
TOORDER	Custom in Communist radical uprising (2, 5)
TOOT	Whistle time-out before overtime (4)
TOPHATS	Drunk rises, holding tubular headgear (3,4)
TOPIARY	Badly rip a toy animal in the garden (7)
TOPIC	Theme running through Canaletto picture (5)
TOPICAL	Hot and sultry, stripping right in current (7)
TOPICS	Beats having one hundred things to discuss (6)
TOPNOTCH	First-rate feature of doorstop not chosen (8)
TOQUE	Puff from lips into hat (5)
TOQUERRD	We hear a hit of marijuana is the hallmark of a good chef (5); [3]
TORCH	Actor chivalrously carries this, if lovelorn? (5)
TORCH	Light touch of resplendence covers humble beginnings (5)
TORERO	Rooter distracted bullfighter (6)
TOREROS	Bullfighters' crazy rooster (7)
TORMENT	Senator mentioned housing trouble (7)
TORMENT	Storm entropically providing misery (7)
TORMENTED	Crooner Mel: famous, loveless, suffering (9)
TORNADO	Tandoor cooking creates quite a stir? (7)
TORNADO	Unable to decide on a hairstyle; it might be funnel shaped (7)
TORNADOES	Sander, too, bothered dust devils (9)
TORPEDO	Erroneously deport love missile  (7)
TORSI	Dictator's inventory includes scuptures with missing limbs (5)
TORSI	I sort swimming trunks (5)
TORTONI	Italian dessert: Spelling eats a huge amount, Braxton eats a scrap (7)
TORUS	Boyfriend blabs on air, revealing cosmetic procedure
TORUS	will spell out a suitable replacement title.
TOSSEDSALAD	Mixed greens & teals, so dad's remodeled (6,5)
TOSTADA	Approaching street, notice a crunchy snack(7)
TOT	Child is to depart, finally (3)
TOTALLY	Really a friend of a little kid (7)
TOTE	Carry a sort of board (4)
TOTEMPOLE	Symbol of hierarchy to church holds no value (5,4)
TOTEMPOLE	Temple too unorthodox for a sacred pillar (5,4)
TOTEMS	Child dashes family's designs (6)
TOTO	Kansan put to and to together? (4)
TOTO	Ron's left provincial capital with Dorothy's dog (4)
TOTS	Adds children (4)
TOUCHDOWN	Score with a pigskin, or fondle a duck? (9)
TOURIST	Booster involving risk brought to a halt early form of Voyager (7)
TOUSLE	Mess up prepared solute (6)
TOUSLED	Write to Dee about American the French roughed up (7)
TOWARD	Looking back, a period surrounding war is propitious (6)
TOWEL	Finishes wet, so throw the girl something for drying (5)
TOXIC	Poison-related spasm consumes beast of burden (5)
TRACE	Crate shaken a bit (5)
TRACE	Record true speed (5)
TRACE	Sign: "Horse's Leader" (5)
TRACT	Real estate brochure (5)
TRADER	Active investor backed Grooms' product? (6)
TRADER	Turn red after sending art back to dealer (6)
TRADEROUTE	A rude otter swimming where the merchant vessels go (5,5)
TRADESMAN	Throwing darts, mean shopkeeper (9)
TRADEWIND	Sailors used to rely on this condensation collected in column at edge of deck (5,4)
TRADITIONALISTS	Artisan, it is told, stunned conservatives (15)
TRAFFIC	Truck congestion on highway (7)
TRAGEDIES	Shows anger wanes after time (9)
TRAGEDY	Try to get ripened... it's a calamity (7)
TRAGIC	At first the refugees all grow intensely confused and very sad (6)
TRAINEE	Recruit showers wearing casual shirt (7)
TRAINERS	Arthur comes back in Elizabeths shoes (8)
TRAMP	Call girl sting nabs head of Moral Majority (5)
TRAMP	Hobo's trap snaring him in the end (5)
TRANSACTS	Conducts true incomplete search before Tuesday the 5th of August (9)
TRANSATLANTIC	Goofy can't nail tarts overseas (13)
TRANSIENCE	Temporary nature of pureed nectarines (10)
TRANSIENCE	Two browsers briefly in trance - it's temporary (10)
TRANSIENT	Ten trains rocked passing through (9)
TRANSIENTS	Hobos tossing and turning in rat's nest (10)
TRANSMUTED	Changed man trusted drunk (10)
TRANSPLANTATION	Relocation of a map in a railway depot that is lacking one (15)
TRANSVERSE	Ravens rest better lying crosswise (10)
TRAP	Line of hair backed up drain (4)
TRAPDOOR	After role reversal, Dr. has nothing, nothing for escape hatch (8)
TRASHED	He darts around drunk (7)
TRAVAIL	Hikers' path around Virginia is hard work (7)
TRAVEL	Time to unwind and get away (6)
TRAVERSAL	Endless talk about ravers tripping back and forth (9)
TRAVERSED	Ted maintains ranters came across? (9)
TRAVESTY	Ridicule essay describing a life preserver (8)
TRAWL	Initially, celebrated Rough Rider's pick is to fish (5)
TREADLE	Altered altered foot lever (7)
TREASON	True motive for betrayal (7)
TREASURER	Surer rate confused Washington money maker (9)
TREAT	Tart returns, filled with energy, to provide some special entertainment (5)
TREATISE	Heavy reading in retreat is excessive (8)
TREATMENT	Curing bad meat in English river (9)
TREATY	A compact as a special gift? (6)
TREATY	Swallow cuts in tax agreement (6)
TREERATAGLET	Arboreal mammal's unusual retreat; Silver stand for shoelace protector
TREMBLE	Shake three times with essence of magnesia (7)
TREMULOUS	Whip me. Our lust is timid (9)
TRENCHERS	Three R's taught - word gets around North Carolina to ditch-diggers (9)
TRENDIER	Relatively sharp splinter in stadium seating area (8)
TRENDIEST	Most popular batter rested in dugout at last (9)
TRESTLE	Settler-constructed bridge (7)
TREVI	Roman landmark lost rivet (5)
TRIANGLE	Figure indefinite integral (8)
TRIBECA	Some trace birth back to NYC neighborhood (7)
TRIBUNE	Newspaper kid gets into music (7)
TRIBUNE	Song takes jibe at Chicago newspaper (7)
TRICEPS	Trips around Central Europe for arms parts (6)
TRIFLE	Play with Texas's leading bore (6)
TRIFLED	Flirted with Rob in Treasury Department (7)
TRILOGY	Attempt to cover one record of events in three-volume set (7)
TRIP	Travel strips strips (4)
TRIPLET	Journey permitted for one of three babies (7)
TRIPLET	One out of three released after misstep (7)
TRIPLETS	High rents for threesomes (8)
TRIPOLI	Cause to stumble: union returning to mideast city?  (7)
TRIPOLI	Heard Bigfoot in mideast city? (7)
TRIPOLI	Strip olive hedges in a Libyan locale (7)
TRISECTION	Cities torn asunder in three way division (10)
TRIST	Sad, stale, starting to shrivel within (6)
TRITE	Mickey Mouse's true mystery (5)
TRIUMPHAL	Victorious one's in last resort with Harold (9)
TRIUMPHS	Notable wins back shirt boxing official (8)
TRIUMPHS	Referee in jersey reversed successes (8)
TRIVIAL	Insignificant trial includes six from old Rome (7)
TROI	Star Trek -- Next Gen counselor Donahue's outspoken (4)
TROJANS	OJ rants about USC football players (7)
TROLL	One who lives under bridges and eats billy goats and fish (5)
TROLLEYBUS	Tours belly dancing via public conveyance (10)
TROLLOP	Ace swallows pastry tart (7)
TROLLS	Sings of legendary Norse cave-dwellers (6)
TROOPER	Police officer's report brought back with nothing inside (7)
TROPHY	Fade, missing first prize (6)
TROT	Move quickly, giving rise to injury (4)
TROTSKY	Old Red needs to run heaven (7)
TROUBLING	But no girl is loose and annoying (9)
TROUNCE	Shellac rebuilt counter (7)
TROUPE	Actors playing "Our Pet" (6)
TROUSERS	Wake up wearing Teddy Roosevelt's pants (8)
TROWEL	Tool rented,returned after enclosing section of garden (6)
TRUCE	Peace is confirmed with start of ceremony (5)
TRUDGE	"Stomp" confirmed to take in five hundred thousand dollars (6)
TRUER	More faithful, more reliable--it's turned up missing (5)
TRUER	One who regrets following initial tendencies is increasingly sincere (5)
TRUER	Starting to treat one who regrets being more accurate (5)
TRUMP	"The Donald's" winning card (5)
TRUMP	West's last: bottom spade, perhaps (5)
TRUMPS	Beats rush backing up round west side of Manhattan (6)
TRUNCHEON	Tarheels buried by swarming Hornet club (9)
TRUNDLE	Dolly led runt astray (7)
TRUNXE	Curtail work with the head of curators in Tate (8)
TRYING	Difficult fragment of poetry in Gaelic (6)
TRYOUT	Run experiments, yes, stuffing fish (3,3)
TRYST	Bring someone to Court Street meeting (5)
TRYST	Test limits of sexologist in assignation (5)
TRYSTS	Country's tsar conceals secret affairs (6)
TRYSTS	Meetings under the auspices of sentry, St. Sebastian (6)
TSELIOT	John returns with southern poet (1,1,5)
TSETSE	Flier set badly two times (6)
TUB	Clean oneself, but in reverse (3)
TUBAS	Sculpted a bust with large instruments (5)
TUBELESS	Dancing bees lust and tire (7)
TUCKERS	People who put their kids to bed in fatigues? (7)
TUCKS	Folds a man's dinner jacket audibly (5)
TUCKS	Folds formal wear for the Speaker (5)
TUDOR	A couple from Trenton receives unlimited kudos for architectural style (5)
TUESDAY	As Rev. Spooner might say, "Please remain tomorrow" (7)
TUFT	Lump is a pronounced bore (4)
TUGS	Gust blowing boats (4)
TUITION	Cost of teaching cooking to Inuit (7)
TULANE	. . . announced highway to school in the South (6)
TUMESCENT	Aroused with short tutu, mesmeric midsection, and perfume (9)
TUMOR	Missouri, stuck in rut, reversed growth (5)
TUNDRA	Where caribou roam and rut excitedly (6)
TURBAN	Edge away from curb, donning brown cloth head-covering (6)
TURIN	I turn, lost, in Italian city (5)
TURNEON	Betrayed and aroused (6,2)
TURNIP	Reportedly, uncover root veggie  (6)
TURNOUT	Gathering hype about coffee maker (7)
TURNOVER	Giving away pastry (8)
TURNS	Links one of the servers (5)
TURQUOISE	Ill, quite sour, and kind of blue (9)
TUSCANS	Tutus can serve to conceal Donatello, Leonardo, Michelangelo, and Raphael, say (7)
TUSKERS	Enormous brutes of Nebraska football team briefly changed; tackle substituted for left end (7)
TUSSLED	Initially tied with us, downhill racer was in contention? (7)
TUT	Half disapprove of old king (3)
TUTOR	Ikhnaton's successor or teacher (5)
TUTTI	Express contempt with a note played by the entire orchestra (5)
TUTTI	To express disapproval, Italian rejected all the performers (5)
TVSETS	Idiot boxes Tyson first, then against aliens (2,4)
TWA	Originally, this was an airline (3)
TWEAK	Adjust to initially having little juice (5)
TWIG	At end of test, imitation locks stick (4)
TWINE	I went crazy for rope (5)
TWINGE	Incomplete ovum returned after clone gets a stitch (6)
TWINSET	Outfit wins Tet Offensive (7)
TWISTER	Force of nature, like Chubby Checker (7)
TWIT	#1 this week is "The Nerd" (4)
TWIT	Bird + brain = birdbrain? (4)
TWIT	Expert witness suppresses taunt (4)
TWITTER	One who makes fun of the sound a cricket makes (7)
TWODECKER	Byzantine trek cowed many a hero (3-6)
TWOISH	How's it shaping up for shortly after lunch? (6)
TYLER	Perhaps a bathroom contractor is mentioned to a former president (5)
TYPEDIN	"Rambunctious pet noise" entered via keyboard (5,2)
TYPEFACE	Garamond, for one, is key in appearance (8)
TYRANNICAL	Ann, seized by terrible clarity, becomes despotic (10)
TYRANT	Faction of party ran teenaged dictator (6)
UBQWVDMA	Draw a boy playing in N.Y. street (8)
UDDER	Bag piece of tail after inaugural (5)
UGLY	Vinyl Gucci clothing? Upon reflection, hideous (4)
ULCER	Festering condition of cruel wound (5)
ULTIMATE	Not fully adult, I'm a teenager at last (8)
ULTRA	Extremist off and on hurls threat (5)
UMBRAGE	In pique, grab emu roughly (7)
UMPIRE	During millennium, Pi refined for the authority in ball's area (6)
UMPTEENTH	Mash, then--um--pet, the last in a long line (9)
UNADVERTISED	Unversed, holding ad, putting it back in, is not promoted (12)
UNARM	.
UNARM	Ox herd
UNAWARE	United Nations leads a war, with Nepal's chief caught napping (7)
UNBENT	Upright nun bet crookedly (6)
UNCERTAIN	Reconstruction of ancient Ur: subject to change (9)
UNCHAIN	Between terminals, lunch ain't free (7)
UNCHALLENGING	Inside, punch Allen gingerly; it's EASY (13)
UNCLEAR	Tribe leaving arbiter after Sam, for one, gets confused (7)
UNCOMMUNICATIVE	Uncut movie in cam is edited and silent (15)
UNCOMPLICATED	A document clip otherwise is EASY (13)
UNCONTRADICTED	Disorderly conduct at diner is not denied (14)
UNCRATED	In no case is AC turned off (8)
UNCTION	Northern army embraces Connecticut with fervor (7)
UNDECIDED	Ambivalent zombie drops acid and Ecstasy first, then drops AA? (9)
UNDERHANDEDNESS	Sneaky behavior of redhead sends nun reeling (15)
UNDERMINE	Act like a gopher sometimes; and German weasel (9)
UNDERVALUE	Sell Short prize after German and English run (10)
UNDRESS	Keeping down, nurses mistakenly take bandages off (7)
UNDRESS	Take clothing from washerwoman, removing one top and then another (7)
UNDULATES	Frenzied tunas' duel creates waves (9)
UNEARTHING	Discovering you, finally, close to slender girl (10)
UNEXPOSED	Covered nudes inappropriately placed around exhibition (9)
UNFAIR	Uproariously fun melody?  Just the opposite! (6)
UNFASTEN	Release welcomed by nun; hast ended (8)
UNHEARDOF	Found her a trashy novel (7,2)
UNICORNS	Nico runs around fabulous animals (8)
UNIONRARETEA	Marriage: a religious rite outside of court; Barely-cooked slices of roast accompanying raw eggs; Time each drink
UNISON	Calhoun is only showing agreement (6)
UNIT	International organization tagged as distinct entity (4)
